tournament_id,games_rents_during_tournament,meeting_time,bringing_children,snack_and_drinks
1,rents allowed during tournament,morning,do not bring children,no snacks and drinks provided
2,rents disabled during tournaments,morning,children allowed,no snacks and drinks provided
3,rents disabled during tournaments,evening,children allowed,free snacks and drinks
4,rents disabled during tournaments,morning,children allowed,no snacks and drinks provided
5,rents disabled during tournaments,morning,do not bring children,free snacks and drinks
6,rents disabled during tournaments,evening,children allowed,free snacks and drinks
7,rents disabled during tournaments,morning,children allowed,no snacks and drinks provided
8,rents disabled during tournaments,evening,do not bring children,no snacks and drinks provided
9,rents allowed during tournament,evening,do not bring children,no snacks and drinks provided
10,rents disabled during tournaments,morning,do not bring children,no snacks and drinks provided
11,rents disabled during tournaments,evening,children allowed,no snacks and drinks provided
12,rents allowed during tournament,evening,do not bring children,free snacks and drinks
13,rents disabled during tournaments,evening,do not bring children,free snacks and drinks
14,rents allowed during tournament,morning,children allowed,free snacks and drinks
15,rents allowed during tournament,evening,do not bring children,no snacks and drinks provided
16,rents allowed during tournament,morning,children allowed,free snacks and drinks
17,rents allowed during tournament,morning,do not bring children,free snacks and drinks
18,rents allowed during tournament,evening,do not bring children,free snacks and drinks
19,rents allowed during tournament,evening,children allowed,no snacks and drinks provided
20,rents allowed during tournament,evening,do not bring children,free snacks and drinks
21,rents disabled during tournaments,morning,do not bring children,free snacks and drinks
22,rents allowed during tournament,evening,do not bring children,no snacks and drinks provided
23,rents disabled during tournaments,morning,children allowed,free snacks and drinks
24,rents allowed during tournament,evening,children allowed,free snacks and drinks
25,rents disabled during tournaments,morning,children allowed,free snacks and drinks
26,rents disabled during tournaments,morning,do not bring children,free snacks and drinks
27,rents allowed during tournament,evening,children allowed,no snacks and drinks provided
28,rents allowed during tournament,morning,do not bring children,free snacks and drinks
29,rents allowed during tournament,morning,do not bring children,free snacks and drinks
30,rents disabled during tournaments,evening,children allowed,free snacks and drinks
31,rents allowed during tournament,evening,do not bring children,no snacks and drinks provided
32,rents allowed during tournament,evening,children allowed,no snacks and drinks provided
33,rents disabled during tournaments,evening,children allowed,free snacks and drinks
34,rents allowed during tournament,evening,do not bring children,free snacks and drinks
35,rents allowed during tournament,evening,children allowed,free snacks and drinks
36,rents allowed during tournament,evening,do not bring children,no snacks and drinks provided
37,rents disabled during tournaments,evening,do not bring children,no snacks and drinks provided
38,rents disabled during tournaments,morning,do not bring children,no snacks and drinks provided
39,rents allowed during tournament,evening,do not bring children,no snacks and drinks provided
40,rents allowed during tournament,morning,children allowed,free snacks and drinks
41,rents disabled during tournaments,evening,children allowed,no snacks and drinks provided
42,rents disabled during tournaments,morning,children allowed,free snacks and drinks
43,rents allowed during tournament,morning,children allowed,no snacks and drinks provided
44,rents disabled during tournaments,morning,do not bring children,free snacks and drinks
45,rents disabled during tournaments,morning,children allowed,no snacks and drinks provided
46,rents disabled during tournaments,evening,children allowed,free snacks and drinks
47,rents disabled during tournaments,evening,children allowed,free snacks and drinks
48,rents disabled during tournaments,evening,do not bring children,free snacks and drinks
49,rents disabled during tournaments,evening,children allowed,free snacks and drinks
50,rents allowed during tournament,morning,do not bring children,no snacks and drinks provided
51,rents disabled during tournaments,morning,do not bring children,free snacks and drinks
52,rents allowed during tournament,morning,children allowed,no snacks and drinks provided
53,rents allowed during tournament,morning,do not bring children,free snacks and drinks
54,rents disabled during tournaments,morning,do not bring children,free snacks and drinks
55,rents disabled during tournaments,evening,do not bring children,no snacks and drinks provided
56,rents allowed during tournament,evening,children allowed,free snacks and drinks
57,rents disabled during tournaments,evening,children allowed,no snacks and drinks provided
58,rents allowed during tournament,evening,do not bring children,no snacks and drinks provided
59,rents disabled during tournaments,morning,do not bring children,free snacks and drinks
60,rents allowed during tournament,morning,do not bring children,free snacks and drinks
61,rents disabled during tournaments,morning,children allowed,free snacks and drinks
62,rents allowed during tournament,morning,children allowed,no snacks and drinks provided
63,rents disabled during tournaments,morning,do not bring children,free snacks and drinks
64,rents allowed during tournament,evening,children allowed,free snacks and drinks
65,rents disabled during tournaments,morning,children allowed,free snacks and drinks
66,rents disabled during tournaments,morning,do not bring children,free snacks and drinks
67,rents disabled during tournaments,evening,children allowed,free snacks and drinks
68,rents allowed during tournament,evening,children allowed,free snacks and drinks
69,rents disabled during tournaments,evening,children allowed,free snacks and drinks
70,rents allowed during tournament,morning,do not bring children,free snacks and drinks
71,rents disabled during tournaments,evening,children allowed,no snacks and drinks provided
72,rents allowed during tournament,morning,do not bring children,free snacks and drinks
73,rents allowed during tournament,morning,do not bring children,free snacks and drinks
74,rents disabled during tournaments,morning,do not bring children,free snacks and drinks
75,rents allowed during tournament,evening,children allowed,no snacks and drinks provided
76,rents allowed during tournament,evening,children allowed,free snacks and drinks
77,rents allowed during tournament,morning,do not bring children,free snacks and drinks
78,rents disabled during tournaments,morning,do not bring children,no snacks and drinks provided
79,rents disabled during tournaments,evening,do not bring children,no snacks and drinks provided
80,rents disabled during tournaments,morning,children allowed,free snacks and drinks
81,rents allowed during tournament,evening,do not bring children,no snacks and drinks provided
82,rents allowed during tournament,evening,do not bring children,free snacks and drinks
83,rents disabled during tournaments,morning,children allowed,no snacks and drinks provided
84,rents disabled during tournaments,evening,do not bring children,free snacks and drinks
85,rents disabled during tournaments,evening,do not bring children,free snacks and drinks
86,rents allowed during tournament,morning,children allowed,no snacks and drinks provided
87,rents allowed during tournament,evening,do not bring children,free snacks and drinks
88,rents disabled during tournaments,morning,do not bring children,free snacks and drinks
89,rents disabled during tournaments,morning,do not bring children,free snacks and drinks
90,rents allowed during tournament,morning,children allowed,free snacks and drinks
91,rents allowed during tournament,morning,do not bring children,no snacks and drinks provided
92,rents disabled during tournaments,morning,do not bring children,free snacks and drinks
93,rents disabled during tournaments,evening,children allowed,no snacks and drinks provided
94,rents allowed during tournament,morning,children allowed,free snacks and drinks
95,rents disabled during tournaments,morning,do not bring children,free snacks and drinks
96,rents allowed during tournament,evening,children allowed,free snacks and drinks
97,rents disabled during tournaments,morning,do not bring children,no snacks and drinks provided
98,rents disabled during tournaments,morning,children allowed,free snacks and drinks
99,rents disabled during tournaments,morning,children allowed,free snacks and drinks
100,rents allowed during tournament,morning,do not bring children,no snacks and drinks provided
