tournament_id,games_rents_during_tournament,meeting_time,bringing_children,snack_and_drinks
1,rents disabled during tournaments,morning,children allowed,no snacks and drinks provided
2,rents allowed during tournament,morning,do not bring children,free snacks and drinks
3,rents disabled during tournaments,evening,do not bring children,no snacks and drinks provided
4,rents disabled during tournaments,evening,children allowed,no snacks and drinks provided
5,rents allowed during tournament,evening,children allowed,no snacks and drinks provided
6,rents disabled during tournaments,morning,do not bring children,free snacks and drinks
7,rents disabled during tournaments,morning,children allowed,no snacks and drinks provided
8,rents disabled during tournaments,evening,do not bring children,no snacks and drinks provided
9,rents disabled during tournaments,morning,children allowed,no snacks and drinks provided
10,rents allowed during tournament,evening,do not bring children,free snacks and drinks
11,rents disabled during tournaments,evening,do not bring children,free snacks and drinks
12,rents allowed during tournament,morning,children allowed,no snacks and drinks provided
13,rents allowed during tournament,evening,children allowed,no snacks and drinks provided
14,rents allowed during tournament,morning,children allowed,no snacks and drinks provided
15,rents allowed during tournament,evening,children allowed,free snacks and drinks
16,rents disabled during tournaments,evening,children allowed,no snacks and drinks provided
17,rents disabled during tournaments,evening,children allowed,free snacks and drinks
18,rents disabled during tournaments,morning,children allowed,free snacks and drinks
19,rents disabled during tournaments,morning,children allowed,free snacks and drinks
20,rents disabled during tournaments,morning,children allowed,no snacks and drinks provided
21,rents disabled during tournaments,morning,do not bring children,free snacks and drinks
22,rents disabled during tournaments,morning,children allowed,no snacks and drinks provided
23,rents disabled during tournaments,evening,do not bring children,no snacks and drinks provided
24,rents allowed during tournament,morning,do not bring children,free snacks and drinks
25,rents disabled during tournaments,morning,do not bring children,no snacks and drinks provided
26,rents allowed during tournament,evening,do not bring children,no snacks and drinks provided
27,rents disabled during tournaments,morning,children allowed,no snacks and drinks provided
28,rents allowed during tournament,evening,do not bring children,free snacks and drinks
29,rents disabled during tournaments,morning,do not bring children,no snacks and drinks provided
30,rents allowed during tournament,evening,do not bring children,free snacks and drinks
31,rents disabled during tournaments,evening,do not bring children,free snacks and drinks
32,rents allowed during tournament,evening,do not bring children,no snacks and drinks provided
33,rents allowed during tournament,evening,children allowed,no snacks and drinks provided
34,rents allowed during tournament,evening,children allowed,no snacks and drinks provided
35,rents disabled during tournaments,evening,do not bring children,no snacks and drinks provided
36,rents allowed during tournament,morning,children allowed,no snacks and drinks provided
37,rents allowed during tournament,morning,do not bring children,no snacks and drinks provided
38,rents disabled during tournaments,evening,do not bring children,no snacks and drinks provided
39,rents allowed during tournament,morning,children allowed,no snacks and drinks provided
40,rents disabled during tournaments,evening,do not bring children,free snacks and drinks
41,rents disabled during tournaments,evening,do not bring children,no snacks and drinks provided
42,rents allowed during tournament,morning,children allowed,free snacks and drinks
43,rents disabled during tournaments,morning,children allowed,no snacks and drinks provided
44,rents allowed during tournament,evening,do not bring children,free snacks and drinks
45,rents allowed during tournament,morning,do not bring children,no snacks and drinks provided
46,rents allowed during tournament,morning,do not bring children,free snacks and drinks
47,rents disabled during tournaments,morning,children allowed,free snacks and drinks
48,rents disabled during tournaments,morning,do not bring children,free snacks and drinks
49,rents allowed during tournament,evening,do not bring children,no snacks and drinks provided
50,rents allowed during tournament,evening,do not bring children,no snacks and drinks provided
51,rents allowed during tournament,evening,children allowed,free snacks and drinks
52,rents disabled during tournaments,evening,do not bring children,no snacks and drinks provided
53,rents allowed during tournament,evening,do not bring children,no snacks and drinks provided
54,rents allowed during tournament,evening,do not bring children,no snacks and drinks provided
55,rents disabled during tournaments,morning,do not bring children,free snacks and drinks
56,rents allowed during tournament,evening,do not bring children,no snacks and drinks provided
57,rents disabled during tournaments,morning,do not bring children,free snacks and drinks
58,rents disabled during tournaments,evening,children allowed,free snacks and drinks
59,rents disabled during tournaments,morning,do not bring children,no snacks and drinks provided
60,rents disabled during tournaments,evening,children allowed,no snacks and drinks provided
61,rents allowed during tournament,morning,do not bring children,no snacks and drinks provided
62,rents disabled during tournaments,evening,children allowed,free snacks and drinks
63,rents allowed during tournament,evening,children allowed,free snacks and drinks
64,rents disabled during tournaments,evening,children allowed,free snacks and drinks
65,rents allowed during tournament,evening,do not bring children,free snacks and drinks
66,rents allowed during tournament,evening,do not bring children,no snacks and drinks provided
67,rents disabled during tournaments,evening,do not bring children,free snacks and drinks
68,rents allowed during tournament,evening,children allowed,free snacks and drinks
69,rents disabled during tournaments,evening,children allowed,free snacks and drinks
70,rents allowed during tournament,evening,children allowed,free snacks and drinks
71,rents disabled during tournaments,morning,children allowed,no snacks and drinks provided
72,rents allowed during tournament,evening,do not bring children,no snacks and drinks provided
73,rents allowed during tournament,morning,do not bring children,free snacks and drinks
